Cas592	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	99.71165	97.71325	99.37951	97.24570	1071.07471	4951.14844	274.53561	0.00000	1.00000	680.13818	5414.54541	9394	1	-1	1	0	0
1	99.58842	97.54147	99.26102	97.22120	1413.30847	4915.73389	232.78676	0.00000	1.00000	668.96710	5462.82227	9495	1	-1	1	0	0
1	99.73724	97.49153	99.47323	97.19462	1014.71802	6059.93213	319.70480	0.00000	1.00000	633.82086	6281.47852	9596	1	-1	1	0	0
1	99.29761	97.67438	99.19635	97.34711	976.20416	3752.81592	249.60008	0.00000	1.00000	656.28693	4576.82471	9697	1	-1	1	0	0
1	99.38752	97.47240	99.34257	97.25742	1295.50513	7218.87646	301.35626	0.00000	1.00000	509.59341	7412.16455	9798	1	-1	1	0	0
1	99.42101	97.24382	99.27545	97.06721	1151.89929	2875.19678	200.24144	0.00000	1.00000	660.96149	3686.96094	9899	1	-1	1	0	0
1	99.67081	97.76431	99.50188	97.35559	1125.46851	5661.93018	285.60098	0.00000	1.00000	622.65881	6308.52979	10000	1	-1	1	0	0
1	99.21729	97.87220	99.09028	97.33678	949.96155	2990.40942	226.65224	0.00000	1.00000	680.59094	3600.22754	10101	1	-1	1	0	0
1	99.72590	97.63595	99.46853	97.18295	1085.58716	5718.95117	291.62155	0.00000	1.00000	686.38733	6171.31689	10202	1	-1	1	0	0
1	99.67252	97.67632	99.29430	97.28568	1360.70898	5334.18018	254.39366	0.00000	1.00000	670.90704	6021.32373	10303	1	-1	1	0	0
1	99.75675	97.57970	99.35567	97.16348	1031.60376	4354.21875	262.30664	0.00000	1.00000	694.95111	5267.22412	10404	1	-1	1	0	0
1	99.73099	97.84203	99.34521	97.36590	949.39020	8403.56348	390.83282	0.00000	1.00000	511.14352	8436.41211	10505	1	-1	1	0	0
1	99.63569	97.64449	99.29084	97.20100	1191.11475	6241.23291	292.88034	0.00000	1.00000	605.42261	6913.43457	10606	1	-1	1	0	0
1	99.69131	97.65070	99.41782	97.28840	1263.72485	5159.57764	257.94946	0.00000	1.00000	629.21301	6084.67676	10707	1	-1	1	0	0
1	99.38274	97.50813	99.19450	97.22205	776.97296	6553.76758	390.81198	0.00000	1.00000	632.66418	6424.39746	10808	1	-1	1	0	0
1	99.61391	97.48451	99.42035	97.19608	1212.50781	4145.84619	229.67769	0.00000	1.00000	729.52283	4691.92920	10909	1	-1	1	0	0
1	99.47411	97.68822	99.24240	97.18907	1177.55994	7350.73340	322.27847	0.00000	1.00000	607.79468	7892.13281	11010	1	-1	1	0	0
1	99.68199	98.15246	99.37677	97.45364	1035.81116	11770.67969	430.54498	0.00000	1.00000	507.56360	11322.91016	11111	1	-1	1	0	0
1	99.69627	97.80282	99.37536	97.17613	763.50909	8036.22852	414.17059	0.00000	1.00000	539.45844	8379.54102	11212	1	-1	1	0	0
1	99.51878	97.75533	99.32294	97.24329	1219.42957	5573.09473	275.94330	0.00000	1.00000	659.80542	6449.86426	11313	1	-1	1	0	0
1	99.35953	97.74203	99.22803	97.33466	1102.36719	5342.66553	281.33981	0.00000	1.00000	616.12701	5653.82471	11414	1	-1	1	0	0
1	99.60622	97.39076	99.40057	97.11421	1293.94177	3608.58521	181.29153	0.00000	1.00000	703.84210	4095.94751	11515	1	-1	1	0	0
1	99.56296	97.59431	99.22446	97.33321	1085.02515	4619.41406	264.06119	0.00000	1.00000	716.80585	5481.85400	11616	1	-1	1	0	0
1	99.94253	97.47016	99.46203	97.13823	1042.37134	5672.59424	297.92065	0.00000	1.00000	586.83490	6255.12744	11717	1	-1	1	0	0
1	99.78400	97.80741	99.33574	97.37466	801.88855	5778.86084	349.36163	0.00000	1.00000	600.28436	6294.89111	11818	1	-1	1	0	0
